CustomerID,TotalSpend,AvgQuantity,AvgUnitPrice,NumCountries,NumProducts,Cluster_Base,Cluster_Selected,Label
12347.0,4310.0,13.505494505494505,2.644010989010989,1,103,0,0,Low Spender
12348.0,1797.24,75.51612903225806,5.764838709677419,1,22,0,0,Low Spender
12349.0,1757.55,8.643835616438356,8.289041095890411,1,73,0,0,Low Spender
12350.0,334.4,11.588235294117647,3.841176470588235,1,17,0,0,Low Spender
12352.0,1545.41,4.947368421052632,23.274736842105263,1,59,0,0,Low Spender
12353.0,89.0,5.0,6.074999999999999,1,4,0,0,Low Spender
12354.0,1079.4,9.137931034482758,4.5037931034482765,1,58,0,0,Low Spender
12355.0,459.4,18.46153846153846,4.203846153846154,1,13,0,0,Low Spender
12356.0,2811.43,26.966101694915253,3.201186440677966,1,53,0,0,Low Spender
12357.0,6207.67,20.671755725190838,3.3486259541984733,1,131,0,0,Low Spender
12358.0,1168.06,13.052631578947368,8.27421052631579,1,13,0,0,Low Spender
12359.0,6182.9800000000005,6.370517928286852,8.805019920318724,1,213,0,1,High Spender
12360.0,2662.06,9.031007751937985,3.5496899224806198,1,105,0,0,Low Spender
12361.0,189.9,9.1,3.335,1,10,0,0,Low Spender
12362.0,5154.58,8.072992700729927,3.9536131386861313,1,201,0,1,High Spender
12363.0,552.0,17.73913043478261,2.3117391304347827,1,23,0,0,Low Spender
12364.0,1313.1,17.71764705882353,1.910235294117647,1,70,0,0,Low Spender
12365.0,320.69,7.521739130434782,30.347826086956523,1,22,0,0,Low Spender
12367.0,168.9,15.727272727272727,3.2,1,11,0,0,Low Spender
12370.0,3541.94,14.168674698795181,2.794578313253012,2,143,0,0,Low Spender
12371.0,1887.96,9.380952380952381,3.8742857142857146,1,63,0,0,Low Spender
12372.0,1298.04,15.26923076923077,3.001346153846154,1,34,0,0,Low Spender
12373.0,364.6,14.071428571428571,4.582142857142857,1,14,0,0,Low Spender
12374.0,742.9300000000001,10.363636363636363,4.21969696969697,1,33,0,0,Low Spender
12375.0,455.42,9.833333333333334,6.644444444444445,1,14,0,0,Low Spender
12377.0,1628.12,12.25974025974026,2.718831168831169,1,72,0,0,Low Spender
12378.0,4008.62,11.547945205479452,2.9974429223744297,1,219,0,1,High Spender
12379.0,850.29,9.902439024390244,2.84390243902439,1,39,0,0,Low Spender
12380.0,2720.56,10.723809523809523,3.3869523809523807,1,77,0,0,Low Spender
12381.0,1803.96,8.604395604395604,4.582857142857143,1,70,0,0,Low Spender
12383.0,1839.31,15.29,3.0936000000000003,1,84,0,0,Low Spender
12384.0,566.16,4.033333333333333,7.575666666666667,1,26,0,0,Low Spender
12386.0,401.9,35.4,2.391,1,10,0,0,Low Spender
12388.0,2780.66,14.62,2.7777,1,58,0,0,Low Spender
12390.0,549.84,11.03125,3.996875,1,32,0,0,Low Spender
12391.0,439.66,3.150537634408602,2.416774193548387,1,92,0,0,Low Spender
